id,qty_multiple,name,product_uom.id,company_id:id,warehouse_id:id,location_id:id,product_id:id,product_min_qty,product_max_qty
scenario.orderpoint_141683,30,OP/00113,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141683,5147,12010
scenario.orderpoint_141684,30,OP/00114,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141684,651,1518
scenario.orderpoint_141685,30,OP/00115,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141685,246,574
scenario.orderpoint_141686,30,OP/00116,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141686,351,818
scenario.orderpoint_141687,30,OP/00117,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141687,1872,4367
scenario.orderpoint_141688,30,OP/00118,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141688,395,921
scenario.orderpoint_141689,30,OP/00119,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141689,168,392
scenario.orderpoint_141690,100,OP/00120,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141690,170,396
scenario.orderpoint_141691,100,OP/00121,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141691,26,51
scenario.orderpoint_141692,100,OP/00122,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141692,11,23
scenario.orderpoint_141693,1,OP/00123,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141693,23,40
scenario.orderpoint_142082,1,OP/00233,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_142082,21,38
scenario.orderpoint_141990,1,OP/00200,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141990,31,65
scenario.orderpoint_141724,60,OP/00138,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141724,165,386
scenario.orderpoint_141725,60,OP/00139,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141725,350,817
scenario.orderpoint_141726,60,OP/00140,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141726,176,410
scenario.orderpoint_141727,1,OP/00141,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141727,4384,10229
scenario.orderpoint_141728,60,OP/00142,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141728,991,2313
scenario.orderpoint_141737,50,OP/00149,1,base.main_company,stock.warehouse0,stock.stock_location_stock,scenario.product_141737,515,1201
