id,name,user_id:id,date_start,date_end,street,zip,city,stage_id:id,build_type,project_type_id:id
scenario.buildingproject_-2142492917,Parkhaus Norline,scenario.res_users_rhu,2014-11-12,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142492819,"Guisanplatz 1, Bern",scenario.res_users_mle,2014-11-12,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142492566,Schulhaus Altnau,scenario.res_users_mka,2014-11-12,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142492537,32004117/10,scenario.res_users_mle,2014-11-12,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142491798,Landquart KOWAG,scenario.res_users_mka,2014-11-13,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142491744,Wallrüti,scenario.res_users_rhu,2014-11-13,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142490596,"141795, Primarschulhaus Zelgli, 8956 Killwangen",scenario.res_users_rhu,2014-11-14,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142490288,115606.001 Alfred-Escher-Str. 50-60,scenario.res_users_dla,2014-10-16,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142490075,Justushof Flums,scenario.res_users_mka,2014-11-13,,,,,specific_building_project.stage_submission,,specific_building_project.type_house
scenario.buildingproject_-2142490045,Quellenhof Amriswil (pot. IL-Projekt),scenario.res_users_mka,2014-11-14,,,,,specific_building_project.stage_submission,,specific_building_project.type_house
scenario.buildingproject_-2142490041,Park Villa Straub,scenario.res_users_fbo,2014-11-14,,,,,specific_building_project.stage_quotation,,specific_building_project.type_house
scenario.buildingproject_-2142487951,NB Schulhaus Dintikon,scenario.res_users_mle,2014-11-17,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142487819,LEGR 410247 Matthofring,scenario.res_users_dla,2014-11-18,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142487600,4066 Implenia UBS Grünenhof,scenario.res_users_dla,2014-11-10,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142486930,"Centre réadaptation Grand-Salève, Genève",scenario.res_users_mse,2014-11-19,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142486832,BWM Emil Frey,scenario.res_users_mle,2014-11-19,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142486630,"Genève, Alexandre Gavard",scenario.res_users_mse,2014-11-19,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142486568,12524 VM2 Seewarte Meggen,scenario.res_users_dla,2014-09-26,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142485399,Neubau Geschäftshaus Sulgen,scenario.res_users_mka,2014-11-20,,,,,specific_building_project.stage_submission,,
scenario.buildingproject_-2142484188,Credit Suisse CRSM,scenario.res_users_mse,2014-11-21,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142483971,"203422061 Überbauung Haus A-C, Bettwil",scenario.res_users_mle,2014-11-24,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142483496,"Universitätsstrasse 100, Zürich",scenario.res_users_dla,2014-11-22,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142482328,"NB Wohnüberbauung, Hochdorf ( IS)",scenario.res_users_mle,,,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142482178,"Wohnüberbauung Else-Züblin-Strasse, Winterthur",scenario.res_users_rhu,2014-11-25,,,,,specific_building_project.stage_won_realisation,,
scenario.buildingproject_-2142481917,"203422063 Schulhaus 2015, Hendschiken",scenario.res_users_mle,2014-11-25,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142481339,"80141113 Französische Schule, Dübendorf",scenario.res_users_rhu,2014-11-26,,,,,specific_building_project.stage_quotation,,
scenario.buildingproject_-2142480300,"100311, Universität Zürich Zentrum, Stampfenbachstrasse 73-75, Zürich",scenario.res_users_rhu,2014-11-26,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142479602,"Erweiterung Schulanlage Oberwisen, Wangen-Brüttisellen",scenario.res_users_rhu,2014-11-27,,,,,specific_building_project.stage_won_completed,,
scenario.buildingproject_-2142479436,Sanierung Hotel Weiss Kreuz (pot. IS-Projekt),scenario.res_users_mka,2014-11-27,2014-12-17,,,,specific_building_project.stage_lost,,specific_building_project.type_hotel
scenario.buildingproject_-2142479371,Ifang Schwerzenbach,scenario.res_users_rhu,,,,,,specific_building_project.stage_submission,,specific_building_project.type_house
scenario.buildingproject_-2142478564,Oberstufenschulhaus Flums,scenario.res_users_mka,2016-03-01,2016-06-30,,,,specific_building_project.stage_acquisiton,,specific_building_project.type_school
scenario.buildingproject_-2142478474,Ausbau Büro Erlenweg 6/8/10,scenario.res_users_fbo,2014-11-27,2014-11-28,,,,specific_building_project.stage_lost,,
scenario.buildingproject_-2142478466,TRISA AG,scenario.res_users_fbo,2014-11-28,,,,,specific_building_project.stage_won_completed,,
