id,name,description,active,default_code,categ_id:id,list_price,standard_price,weight,taxes_id,property_account_income_id,property_account_expense_id,type,state,uom_id:id,valuation
scenario.product_151459,PD2 S 180 NAP KNX BEG/S,"Präsenzmelder KNX, schwarz",TRUE,151459,scenario.product_category_R201_002,352,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151460,PD2 S 360 DE Master 1C/B,"Präsenzmelder 1-Kanal, braun",TRUE,151460,scenario.product_category_R201_002,152,0,0.25,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151461,PD2 S 360 DE Master 2C/B,"Präsenzmelder 2-Kanal, braun",TRUE,151461,scenario.product_category_R201_002,172,0,0.237,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151462,PD2 S 360 DE Slave/B,"Präsenzmelder Slave, braun",TRUE,151462,scenario.product_category_R201_002,142,0,0.21,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151463,PD2 S 360 DE GST/B,"Präsenzmelder 16V-24V-48V 2x 0-10V, braun",TRUE,151463,scenario.product_category_R201_002,180,0,0.216,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151464,PD2 S 360 DE KNX/B,"Präsenzmelder KNX, braun",TRUE,151464,scenario.product_category_R201_002,365,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151465,PD2 S 360 DE Dimm/B,"Präsenzmelder Dimm 1-10V, braun",TRUE,151465,scenario.product_category_R201_002,240,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151466,PD2 S 360 DE 12-48V/B,"Präsenzmelder 24V, braun",TRUE,151466,scenario.product_category_R201_002,210,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151467,PD2 S 360 DE DALI-DSI/B,"Präsenzmelder Dimm DALI-DSI, braun",TRUE,151467,scenario.product_category_R201_002,250,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151468,PD2 S 360 DE Master 1C/BE,"Präsenzmelder 1-Kanal, beige",TRUE,151468,scenario.product_category_R201_002,152,0,0.25,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151469,PD2 S 360 DE Master 2C/BE,"Präsenzmelder 2-Kanal, beige",TRUE,151469,scenario.product_category_R201_002,172,0,0.237,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
scenario.product_151470,PD2 S 360 DE Slave/BE,"Präsenzmelder Slave, beige",TRUE,151470,scenario.product_category_R201_002,142,0,0.21,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151471,PD2 S 360 DE GST/BE,"Präsenzmelder 16V-24V-48V 2x 0-10V, beige",TRUE,151471,scenario.product_category_R201_002,180,0,0.216,TVA due à 8.0% (Incl. TN),3200,4200,product,sellable,product.product_uom_unit,manual_periodic
scenario.product_151472,PD2 S 360 DE KNX/BE,"Präsenzmelder KNX, beige",TRUE,151472,scenario.product_category_R201_002,365,0,0,TVA due à 8.0% (Incl. TN),3200,4200,product,draft,product.product_uom_unit,manual_periodic
